   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  528	  110.401	     0.60171	     0.17405
  529	  110.604	     0.58019	     0.17425
  530	  110.807	     0.56260	     0.16489
  531	  111.009	     0.54056	     0.17537
  532	  111.212	     0.52190	     0.17677
  533	  111.415	     0.50120	     0.17480
  534	  111.602	     0.48216	     0.17422
  535	  111.805	     0.46069	     0.17421
  536	  112.008	     0.43988	     0.17248
  537	  112.211	     0.42072	     0.16808
  538	  112.413	     0.40155	     0.17042
  539	  112.601	     0.38198	     0.16777
  540	  112.803	     0.35980	     0.17249
  541	  113.006	     0.34075	     0.17880
  542	  113.209	     0.32054	     0.17603
  543	  113.412	     0.30064	     0.16728
  544	  113.615	     0.28156	     0.17131
  545	  113.802	     0.26078	     0.16501
  546	  114.005	     0.24066	     0.17055
  547	  114.207	     0.22063	     0.18599
  548	  114.410	     0.20161	     0.17351
  549	  114.613	     0.18046	     0.17764
  550	  114.816	     0.16125	     0.17879
  551	  115.003	     0.13873	     0.17768
  552	  115.206	     0.11984	     0.17677
  553	  115.409	     0.10051	     0.17860
  554	  115.611	     0.08171	     0.17904
  555	  115.814	     0.05936	     0.17694
  556	  116.001	     0.04249	     0.17435
  557	  116.204	     0.02077	     0.17287
  558	  116.407	    -0.00122	     0.18173
  559	  116.610	     0.01840	     0.18143	20	Load
  560	  116.813	     0.03942	     0.17785
  561	  117.015	     0.05717	     0.17922
  562	  117.203	     0.07781	     0.18698
  563	  117.405	     0.09782	     0.18976
  564	  117.608	     0.12002	     0.20060
  565	  117.811	     0.13795	     0.19511
  566	  118.014	     0.15955	     0.18593
  567	  118.201	     0.17834	     0.18987
  568	  118.404	     0.20036	     0.19857
  569	  118.607	     0.21820	     0.19214
  570	  118.809	     0.23944	     0.19861
  571	  119.012	     0.25812	     0.19434
  572	  119.215	     0.27806	     0.19539
  573	  119.402	     0.29769	     0.19694
  574	  119.605	     0.31953	     0.19781
  575	  119.808	     0.33977	     0.19099
  576	  120.011	     0.35691	     0.19972
  577	  120.213	     0.37758	     0.18911
  578	  120.401	     0.39722	     0.18450
  579	  120.603	     0.41754	     0.18715
  580	  120.806	     0.43782	     0.18345
  581	  121.009	     0.46112	     0.19102
  582	  121.212	     0.47820	     0.18744
