   No.   	Time N (s)	Depth N (µm)	Force N (mN)
  526	  109.902	     0.62171	     0.00969
  527	  110.105	     0.60127	     0.01074
  528	  110.308	     0.58163	     0.00837
  529	  110.511	     0.56264	     0.01054
  530	  110.713	     0.54073	     0.00515
  531	  110.901	     0.52203	    -0.00163
  532	  111.103	     0.50084	     0.01125
  533	  111.306	     0.48078	     0.00766
  534	  111.509	     0.46115	     0.00565
  535	  111.712	     0.44171	     0.01193
  536	  111.915	     0.42179	     0.00766
  537	  112.102	     0.40172	     0.00967
  538	  112.305	     0.37986	     0.00979
  539	  112.507	     0.35934	     0.00958
  540	  112.710	     0.34094	     0.00542
  541	  112.913	     0.32110	     0.00394
  542	  113.116	     0.30142	     0.01359
  543	  113.303	     0.28196	     0.00594
  544	  113.506	     0.26252	    -0.00116
  545	  113.709	     0.24174	     0.01404
  546	  113.911	     0.22144	     0.00417
  547	  114.114	     0.20121	     0.01163
  548	  114.301	     0.18151	     0.00557
  549	  114.504	     0.15996	    -0.00559
  550	  114.707	     0.14189	     0.01267
  551	  114.910	     0.12071	     0.01132
  552	  115.113	     0.10188	     0.01019
  553	  115.315	     0.08234	     0.01043
  554	  115.503	     0.06105	     0.01624
  555	  115.706	     0.04030	     0.01250
  556	  115.908	     0.02349	     0.00883
  557	  116.111	     0.00149	     0.00745
  558	  116.314	     0.01904	     0.01407	20	Load
  559	  116.501	     0.03859	     0.01572
  560	  116.704	     0.05848	     0.02009
  561	  116.907	     0.07804	     0.01638
  562	  117.110	     0.09832	     0.01017
  563	  117.312	     0.11911	     0.00859
  564	  117.515	     0.13786	     0.01955
  565	  117.702	     0.15869	     0.01091
  566	  117.905	     0.17695	     0.01494
  567	  118.108	     0.19750	     0.02490
  568	  118.311	     0.21938	     0.02493
  569	  118.514	     0.23814	     0.02752
  570	  118.701	     0.25661	     0.01497
  571	  118.904	     0.27918	     0.01809
  572	  119.106	     0.30015	     0.02866
  573	  119.309	     0.32016	     0.02115
  574	  119.512	     0.33791	     0.02364
  575	  119.715	     0.35890	     0.02179
  576	  119.902	     0.37874	     0.02569
  577	  120.105	     0.39903	     0.02365
  578	  120.308	     0.41906	     0.02181
  579	  120.510	     0.43967	     0.02487
  580	  120.713	     0.45872	     0.02513
  581	  120.900	     0.47722	     0.02781
  582	  121.103	     0.49963	     0.01511
  583	  121.306	     0.52135	     0.02352
  584	  121.509	     0.53911	     0.01964
  585	  121.712	     0.55956	     0.02356
  586	  121.914	     0.57812	     0.01880
  587	  122.102	     0.59912	     0.01044
  588	  122.304	     0.61926	     0.02302
  589	  122.507	     0.64016	     0.02784
  590	  122.710	     0.65810	     0.02892
  591	  122.913	     0.67808	     0.01777
  592	  123.116	     0.69336	     0.13336
  593	  123.303	     0.70371	     0.41443
  594	  123.506	     0.71812	     0.97516
  595	  123.708	     0.73097	     1.70549
  596	  123.911	     0.74441	     2.53330
  597	  124.114	     0.76107	     3.60740
  598	  124.301	     0.77861	     4.61859
  599	  124.504	     0.79276	     5.75203
  600	  124.707	     0.81532	     6.92706
  601	  124.910	     0.83003	     8.01096
  602	  125.112	     0.84691	     9.12754
  603	  125.315	     0.86913	    10.26997
  604	  125.502	     0.94379	    10.14367
  605	  125.705	     0.94781	     9.64148
  606	  125.908	     0.95575	     9.67720
  607	  126.111	     0.96706	    10.08841
  608	  126.314	     0.98427	     9.83207	21	Unload
  609	  126.501	     0.97580	     8.99048
  610	  126.704	     0.96228	     7.80803
  611	  126.906	     0.94949	     6.48376
  612	  127.109	     0.93020	     5.13983
  613	  127.312	     0.91036	     3.92619
  614	  127.515	     0.88914	     2.69321
  615	  127.702	     0.87224	     1.66926
  616	  127.905	     0.84745	     0.62815
  617	  128.108	     0.80793	     0.02808
  618	  128.310	     0.78090	     0.01343
  619	  128.513	     0.76183	     0.01633
  620	  128.716	     0.74254	     0.01670
  621	  128.903	     0.72209	     0.01991
  622	  129.106	     0.69992	     0.01539
  623	  129.309	     0.68244	     0.01528
  624	  129.512	     0.66144	     0.01416
  625	  129.714	     0.64180	     0.01731
  626	  129.902	     0.62153	     0.01082
  627	  130.104	     0.60329	     0.00559
